
These predictions were generated by MoorDyn (v2.0.02022-12-08) on 25-Sep-2023 at 13:52:54.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)
    0.0000   3.1722468E+06   3.6380030E+06   3.1947648E+06
    0.0100   3.1722328E+06   3.6379895E+06   3.1947642E+06
    0.0200   3.1722100E+06   3.6379692E+06   3.1947635E+06
    0.0300   3.1721790E+06   3.6379418E+06   3.1947625E+06
    0.0400   3.1721395E+06   3.6379072E+06   3.1947615E+06
    0.0500   3.1720915E+06   3.6378660E+06   3.1947602E+06
    0.0600   3.1720352E+06   3.6378180E+06   3.1947592E+06
    0.0700   3.1719705E+06   3.6377630E+06   3.1947585E+06
    0.0800   3.1718972E+06   3.6377015E+06   3.1947580E+06
    0.0900   3.1718158E+06   3.6376332E+06   3.1947578E+06
    0.1000   3.1717262E+06   3.6375585E+06   3.1947580E+06
    0.1100   3.1716282E+06   3.6374772E+06   3.1947588E+06
    0.1200   3.1715222E+06   3.6373895E+06   3.1947600E+06
    0.1300   3.1714080E+06   3.6372955E+06   3.1947620E+06
    0.1400   3.1712858E+06   3.6371950E+06   3.1947642E+06
    0.1500   3.1711555E+06   3.6370885E+06   3.1947672E+06
    0.1600   3.1710175E+06   3.6369755E+06   3.1947708E+06
    0.1700   3.1708718E+06   3.6368562E+06   3.1947748E+06
    0.1800   3.1707182E+06   3.6367310E+06   3.1947790E+06
    0.1900   3.1705570E+06   3.6365992E+06   3.1947835E+06
    0.2000   3.1703885E+06   3.6364615E+06   3.1947882E+06
    0.2100   3.1702128E+06   3.6363175E+06   3.1947932E+06
    0.2200   3.1700298E+06   3.6361675E+06   3.1947980E+06
    0.2300   3.1698398E+06   3.6360112E+06   3.1948028E+06
    0.2400   3.1696430E+06   3.6358490E+06   3.1948070E+06
    0.2500   3.1694398E+06   3.6356808E+06   3.1948112E+06
    0.2600   3.1692300E+06   3.6355068E+06   3.1948152E+06
    0.2700   3.1690140E+06   3.6353265E+06   3.1948188E+06
    0.2800   3.1687918E+06   3.6351408E+06   3.1948220E+06
    0.2900   3.1685640E+06   3.6349490E+06   3.1948250E+06
    0.3000   3.1683305E+06   3.6347518E+06   3.1948278E+06
    0.3100   3.1680915E+06   3.6345492E+06   3.1948300E+06
    0.3200   3.1678472E+06   3.6343410E+06   3.1948325E+06
    0.3300   3.1675980E+06   3.6341278E+06   3.1948345E+06
    0.3400   3.1673438E+06   3.6339092E+06   3.1948370E+06
    0.3500   3.1670848E+06   3.6336860E+06   3.1948392E+06
    0.3600   3.1668210E+06   3.6334578E+06   3.1948418E+06
    0.3700   3.1665530E+06   3.6332248E+06   3.1948448E+06
    0.3800   3.1662805E+06   3.6329870E+06   3.1948480E+06
    0.3900   3.1660038E+06   3.6327448E+06   3.1948518E+06
    0.4000   3.1657228E+06   3.6324982E+06   3.1948560E+06
    0.4100   3.1654380E+06   3.6322475E+06   3.1948608E+06
    0.4200   3.1651492E+06   3.6319922E+06   3.1948658E+06
    0.4300   3.1648570E+06   3.6317332E+06   3.1948715E+06
    0.4400   3.1645610E+06   3.6314698E+06   3.1948775E+06
    0.4500   3.1642615E+06   3.6312025E+06   3.1948840E+06
    0.4600   3.1639590E+06   3.6309312E+06   3.1948905E+06
    0.4700   3.1636535E+06   3.6306562E+06   3.1948975E+06
    0.4800   3.1633452E+06   3.6303775E+06   3.1949042E+06
    0.4900   3.1630345E+06   3.6300948E+06   3.1949110E+06
    0.5000   3.1627212E+06   3.6298085E+06   3.1949178E+06
    0.5100   3.1624062E+06   3.6295185E+06   3.1949242E+06
    0.5200   3.1620892E+06   3.6292250E+06   3.1949305E+06
    0.5300   3.1617712E+06   3.6289280E+06   3.1949362E+06
    0.5400   3.1614518E+06   3.6286278E+06   3.1949415E+06
    0.5500   3.1611318E+06   3.6283242E+06   3.1949465E+06
    0.5600   3.1608110E+06   3.6280175E+06   3.1949510E+06
    0.5700   3.1604900E+06   3.6277078E+06   3.1949550E+06
    0.5800   3.1601690E+06   3.6273950E+06   3.1949588E+06
    0.5900   3.1598482E+06   3.6270795E+06   3.1949620E+06
    0.6000   3.1595280E+06   3.6267612E+06   3.1949652E+06
    0.6100   3.1592085E+06   3.6264408E+06   3.1949682E+06
    0.6200   3.1588898E+06   3.6261178E+06   3.1949710E+06
    0.6300   3.1585720E+06   3.6257922E+06   3.1949740E+06
    0.6400   3.1582555E+06   3.6254650E+06   3.1949772E+06
    0.6500   3.1579400E+06   3.6251355E+06   3.1949805E+06
    0.6600   3.1576260E+06   3.6248040E+06   3.1949842E+06
    0.6700   3.1573135E+06   3.6244710E+06   3.1949880E+06
    0.6800   3.1570022E+06   3.6241362E+06   3.1949925E+06
    0.6900   3.1566928E+06   3.6237998E+06   3.1949970E+06
    0.7000   3.1563850E+06   3.6234618E+06   3.1950022E+06
    0.7100   3.1560788E+06   3.6231222E+06   3.1950075E+06
    0.7200   3.1557748E+06   3.6227815E+06   3.1950132E+06
    0.7300   3.1554725E+06   3.6224395E+06   3.1950190E+06
    0.7400   3.1551728E+06   3.6220960E+06   3.1950250E+06
    0.7500   3.1548752E+06   3.6217515E+06   3.1950312E+06
    0.7600   3.1545805E+06   3.6214058E+06   3.1950372E+06
    0.7700   3.1542888E+06   3.6210590E+06   3.1950430E+06
    0.7800   3.1540000E+06   3.6207110E+06   3.1950485E+06
    0.7900   3.1537148E+06   3.6203620E+06   3.1950538E+06
    0.8000   3.1534332E+06   3.6200122E+06   3.1950582E+06
    0.8100   3.1531555E+06   3.6196612E+06   3.1950625E+06
    0.8200   3.1528822E+06   3.6193098E+06   3.1950662E+06
    0.8300   3.1526138E+06   3.6189575E+06   3.1950695E+06
    0.8400   3.1523500E+06   3.6186045E+06   3.1950722E+06
    0.8500   3.1520912E+06   3.6182508E+06   3.1950742E+06
    0.8600   3.1518378E+06   3.6178968E+06   3.1950760E+06
    0.8700   3.1515898E+06   3.6175422E+06   3.1950772E+06
    0.8800   3.1513472E+06   3.6171875E+06   3.1950782E+06
    0.8900   3.1511105E+06   3.6168325E+06   3.1950790E+06
    0.9000   3.1508795E+06   3.6164775E+06   3.1950798E+06
    0.9100   3.1506545E+06   3.6161222E+06   3.1950802E+06
    0.9200   3.1504350E+06   3.6157670E+06   3.1950810E+06
    0.9300   3.1502215E+06   3.6154120E+06   3.1950818E+06
    0.9400   3.1500135E+06   3.6150572E+06   3.1950828E+06
    0.9500   3.1498115E+06   3.6147028E+06   3.1950842E+06
    0.9600   3.1496150E+06   3.6143485E+06   3.1950858E+06
    0.9700   3.1494242E+06   3.6139945E+06   3.1950875E+06
    0.9800   3.1492390E+06   3.6136410E+06   3.1950898E+06
    0.9900   3.1490592E+06   3.6132880E+06   3.1950920E+06
    1.0000   3.1488852E+06   3.6129352E+06   3.1950945E+06
    1.0100   3.1487170E+06   3.6125830E+06   3.1950972E+06
    1.0200   3.1485545E+06   3.6122312E+06   3.1951000E+06
    1.0300   3.1483978E+06   3.6118798E+06   3.1951025E+06
    1.0400   3.1482472E+06   3.6115290E+06   3.1951050E+06
    1.0500   3.1481028E+06   3.6111785E+06   3.1951072E+06
    1.0600   3.1479648E+06   3.6108288E+06   3.1951090E+06
    1.0700   3.1478335E+06   3.6104792E+06   3.1951105E+06
    1.0800   3.1477092E+06   3.6101302E+06   3.1951112E+06
    1.0900   3.1475918E+06   3.6097818E+06   3.1951118E+06
